,time,pm_in,pm_out,tem_in,tem_out,rh_in,rh_out,co2,time_index
796,1/3/2017 18:15,0,0,0,0,0,0,0,18
797,1/3/2017 18:20,0,0,0,0,0,0,0,18
798,1/3/2017 18:25,0,0,0,0,0,0,0,18
799,1/3/2017 18:30,0,0,0,0,0,0,0,18
800,1/3/2017 18:35,0,0,0,0,0,0,0,18
801,1/3/2017 18:40,0,0,0,0,0,0,0,18
802,1/3/2017 18:45,0,0,0,0,0,0,0,18
803,1/3/2017 18:50,0,0,0,0,0,0,0,18
804,1/3/2017 18:55,0,0,0,0,0,0,0,18
805,1/3/2017 19:00,0,0,0,0,0,0,0,19
806,1/3/2017 19:05,0,0,0,0,0,0,0,19
807,1/3/2017 19:10,0,0,0,0,0,0,0,19
808,1/3/2017 19:15,0,0,0,0,0,0,0,19
809,1/3/2017 19:20,0,0,0,0,0,0,0,19
810,1/3/2017 19:25,0,0,0,0,0,0,0,19
811,1/3/2017 19:30,0,0,0,0,0,0,0,19
812,1/3/2017 19:35,0,0,0,0,0,0,0,19
813,1/3/2017 19:40,0,0,0,0,0,0,0,19
814,1/3/2017 19:45,0,0,0,0,0,0,0,19
815,1/3/2017 19:50,0,0,0,0,0,0,0,19
816,1/3/2017 19:55,0,0,0,0,0,0,0,19
817,1/3/2017 20:00,0,0,0,0,0,0,0,20
818,1/3/2017 20:05,0,0,0,0,0,0,0,20
819,1/3/2017 20:10,0,0,0,0,0,0,0,20
820,1/3/2017 20:15,0,0,0,0,0,0,0,20
821,1/3/2017 20:20,0,0,0,0,0,0,0,20
822,1/3/2017 20:25,0,0,0,0,0,0,0,20
823,1/3/2017 20:30,0,0,0,0,0,0,0,20
824,1/3/2017 20:35,0,0,0,0,0,0,0,20
825,1/3/2017 20:40,0,0,0,0,0,0,0,20
826,1/3/2017 20:45,0,0,0,0,0,0,0,20
827,1/3/2017 20:50,0,0,0,0,0,0,0,20
828,1/3/2017 20:55,0,0,0,0,0,0,0,20
829,1/3/2017 21:00,0,0,0,0,0,0,0,21
830,1/3/2017 21:05,0,0,0,0,0,0,0,21
831,1/3/2017 21:10,0,0,0,0,0,0,0,21
832,1/3/2017 21:15,0,0,0,0,0,0,0,21
833,1/3/2017 21:20,0,0,0,0,0,0,0,21
834,1/3/2017 21:25,0,0,0,0,0,0,0,21
835,1/3/2017 21:30,0,0,0,0,0,0,0,21
836,1/3/2017 21:35,0,0,0,0,0,0,0,21
837,1/3/2017 21:40,0,0,0,0,0,0,0,21
838,1/3/2017 21:45,0,0,0,0,0,0,0,21
839,1/3/2017 21:50,0,0,0,0,0,0,0,21
840,1/3/2017 21:55,0,0,0,0,0,0,0,21
841,1/3/2017 22:00,0,0,0,0,0,0,0,22
842,1/3/2017 22:05,0,0,0,0,0,0,0,22
843,1/3/2017 22:10,0,0,0,0,0,0,0,22
844,1/3/2017 22:15,0,0,0,0,0,0,0,22
845,1/3/2017 22:20,0,0,0,0,0,0,0,22
846,1/3/2017 22:25,0,0,0,0,0,0,0,22
847,1/3/2017 22:30,0,0,0,0,0,0,0,22
848,1/3/2017 22:35,0,0,0,0,0,0,0,22
849,1/3/2017 22:40,0,0,0,0,0,0,0,22
850,1/3/2017 22:45,0,0,0,0,0,0,0,22
851,1/3/2017 22:50,0,0,0,0,0,0,0,22
852,1/3/2017 22:55,0,0,0,0,0,0,0,22
853,1/3/2017 23:00,0,0,0,0,0,0,0,23
854,1/3/2017 23:05,0,0,0,0,0,0,0,23
855,1/3/2017 23:10,0,0,0,0,0,0,0,23
856,1/3/2017 23:15,0,0,0,0,0,0,0,23
857,1/3/2017 23:20,0,0,0,0,0,0,0,23
858,1/3/2017 23:25,0,0,0,0,0,0,0,23
859,1/3/2017 23:30,0,0,0,0,0,0,0,23
860,1/3/2017 23:35,0,0,0,0,0,0,0,23
861,1/3/2017 23:40,0,0,0,0,0,0,0,23
862,1/3/2017 23:45,0,0,0,0,0,0,0,23
863,1/3/2017 23:50,0,0,0,0,0,0,0,23
864,1/3/2017 23:55,0,0,0,0,0,0,0,23
865,1/4/2017 0:00,0,0,0,0,0,0,0,0
866,1/4/2017 0:05,0,0,0,0,0,0,0,0
867,1/4/2017 0:10,0,0,0,0,0,0,0,0
868,1/4/2017 0:15,0,0,0,0,0,0,0,0
869,1/4/2017 0:20,0,0,0,0,0,0,0,0
870,1/4/2017 0:25,0,0,0,0,0,0,0,0
871,1/4/2017 0:30,0,0,0,0,0,0,0,0
872,1/4/2017 0:35,0,0,0,0,0,0,0,0
873,1/4/2017 0:40,0,0,0,0,0,0,0,0
874,1/4/2017 0:45,0,0,0,0,0,0,0,0
875,1/4/2017 0:50,0,0,0,0,0,0,0,0
876,1/4/2017 0:55,0,0,0,0,0,0,0,0
877,1/4/2017 1:00,0,0,0,0,0,0,0,1
878,1/4/2017 1:05,0,0,0,0,0,0,0,1
879,1/4/2017 1:10,0,0,0,0,0,0,0,1
880,1/4/2017 1:15,0,0,0,0,0,0,0,1
881,1/4/2017 1:20,0,0,0,0,0,0,0,1
882,1/4/2017 1:25,0,0,0,0,0,0,0,1
883,1/4/2017 1:30,0,0,0,0,0,0,0,1
884,1/4/2017 1:35,0,0,0,0,0,0,0,1
885,1/4/2017 1:40,0,0,0,0,0,0,0,1
886,1/4/2017 1:45,0,0,0,0,0,0,0,1
887,1/4/2017 1:50,0,0,0,0,0,0,0,1
888,1/4/2017 1:55,0,0,0,0,0,0,0,1
889,1/4/2017 2:00,0,0,0,0,0,0,0,2
890,1/4/2017 2:05,0,0,0,0,0,0,0,2
891,1/4/2017 2:10,0,0,0,0,0,0,0,2
892,1/4/2017 2:15,0,0,0,0,0,0,0,2
893,1/4/2017 2:20,0,0,0,0,0,0,0,2
894,1/4/2017 2:25,0,0,0,0,0,0,0,2
895,1/4/2017 2:30,0,0,0,0,0,0,0,2
896,1/4/2017 2:35,0,0,0,0,0,0,0,2
897,1/4/2017 2:40,0,0,0,0,0,0,0,2
